id,prompt,answer
text_subst_caesar_shift_it003_0001,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

unggre zlfgrevbhf zlfgrevbhf -> hatter mysterious mysterious
arne jvmneq unggre -> near wizard hatter
zbhagnva zveebe haqre -> mountain mirror under
png zlfgrevbhf png -> cat mysterious cat
zbhagnva jvmneq qentba nyvpr sbyybjf -> mountain wizard dragon alice follows
vafvqr qenjf qenjf -> inside draws draws
zntvpny zlfgrevbhf qvfpbiref ernqf -> magical mysterious discovers reads
obbx qentba zveebe haqre perngrf -> book dragon mirror under creates
fghqrag qernzf tbyqra inyyrl -> student dreams golden valley
sbyybjf punfrf qbbe -> follows chases door

Now, decrypt the following text: dhrra qernzf frperg unggre",queen dreams secret hatter
text_subst_caesar_shift_it003_0002,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

nscmyfobc gsco pyvvygc qyvnox wicdobsyec mkcdvo -> discovers wise follows golden mysterious castle
fkvvoi wicdobsyec wkqsmkv nyyb fkvvoi combod -> valley mysterious magical door valley secret
mkd gkdmroc mkd mrkcoc wyexdksx -> cat watches cat chases mountain
boknc pyvvygc mkcdvo -> reads follows castle
aeoox mbokdoc nscmyfobc nbkqyx -> queen creates discovers dragon
lsbn mkd exnob nyyb -> bird cat under door
boknc xokb gsjkbn wicdobsyec mkd -> reads near wizard mysterious cat
wkqsmkv lsbn wyeco -> magical bird mouse
gyxnobvkxn qyvnox wkqsmkv -> wonderland golden magical

Now, decrypt the following text: gsjkbn qyvnox nbkqyx",wizard golden dragon
text_subst_caesar_shift_it003_0003,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

mxuoq otmeqe nudp imfotqe -> alice chases bird watches
bduzoqee yagzfmuz eqodqf bmxmoq iueq pdqmye -> princess mountain secret palace wise dreams
paad dqmpe bduzoqee pdmie cgqqz yagzfmuz -> door reads princess draws queen mountain
naaw zqmd omefxq yageq otmeqe -> book near castle mouse chases
raxxaie mzouqzf uzeupq gzpqd iazpqdxmzp -> follows ancient inside under wonderland
iazpqdxmzp ymsuomx gzpqd bduzoqee -> wonderland magical under princess
yagzfmuz yageq iueq naaw zqmd uzeupq -> mountain mouse wise book near inside
bmxmoq nudp ymsuomx omefxq pdmie -> palace bird magical castle draws

Now, decrypt the following text: cgqqz mzouqzf",queen ancient
text_subst_caesar_shift_it003_0004,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

gxtk pblx atmmxk fbkkhk atmmxk -> near wise hatter mirror hatter
wkxtfl kxtwl yheehpl ikbgvxll tgvbxgm -> dreams reads follows princess ancient
fbkkhk bglbwx gxtk fhnlx atmmxk jnxxg -> mirror inside near mouse hatter queen
ubkw itetvx atmmxk -> bird palace hatter
bglbwx fbkkhk ikbgvxll vkxtmxl -> inside mirror princess creates
tebvx gxtk bftzbgxl vtlmex pblx ftzbvte -> alice near imagines castle wise magical
itetvx lxvkxm frlmxkbhnl -> palace secret mysterious
tgvbxgm wktpl uhhd pbstkw -> ancient draws book wizard
vtm wblvhoxkl wblvhoxkl lxvkxm bglbwx fhnlx -> cat discovers discovers secret inside mouse
tgvbxgm wktzhg kxtwl yheehpl kxtwl -> ancient dragon reads follows reads

Now, decrypt the following text: fhnlx wblvhoxkl fhnlx itetvx",mouse discovers mouse palace
text_subst_caesar_shift_it003_0005,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

ftzbvte pblx gxtk vtlmex -> magical wise near castle
wktpl fbkkhk oteexr bglbwx wkxtfl tebvx -> draws mirror valley inside dreams alice
vatlxl wktpl ikbgvxll -> chases draws princess
pbstkw vtlmex zhewxg -> wizard castle golden
phgwxketgw wblvhoxkl bftzbgxl oteexr vtlmex zhewxg -> wonderland discovers imagines valley castle golden
vatlxl gxtk vatlxl yheehpl -> chases near chases follows
wktzhg fhnlx tgvbxgm atmmxk bglbwx -> dragon mouse ancient hatter inside
uhhd ubkw wkxtfl fhngmtbg -> book bird dreams mountain
itetvx whhk ngwxk frlmxkbhnl wktzhg bglbwx -> palace door under mysterious dragon inside
ubkw tebvx phgwxketgw -> bird alice wonderland

Now, decrypt the following text: fhngmtbg whhk",mountain door
text_subst_caesar_shift_it003_0006,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

kohqvsg rfsoag rccf qoh dozoqs -> watches dreams door cat palace
dfwbqsgg kwnofr kwnofr rccf awffcf bsof -> princess wizard wizard door mirror near
rwgqcjsfg qoh kwnofr dozoqs qfsohsg -> discovers cat wizard palace creates
qvogsg rfokg gsqfsh gsqfsh rfoucb -> chases draws secret secret dragon
rfsoag ghirsbh fsorg kohqvsg -> dreams student reads watches
qoh bsof qoghzs kwgs ozwqs rwgqcjsfg -> cat near castle wise alice discovers
qoh waouwbsg vohhsf rccf wbgwrs rfoucb -> cat imagines hatter door inside dragon
obqwsbh eissb pwfr pccy kcbrsfzobr qoghzs -> ancient queen bird book wonderland castle
jozzsm kcbrsfzobr waouwbsg -> valley wonderland imagines
rfoucb uczrsb kohqvsg acibhowb ozwqs -> dragon golden watches mountain alice

Now, decrypt the following text: bsof ozwqs bsof",near alice near
text_subst_caesar_shift_it003_0007,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

pwfr kwgs obqwsbh fsorg wbgwrs -> bird wise ancient reads inside
rfsoag rfsoag pccy -> dreams dreams book
kcbrsfzobr pccy kwgs aouwqoz aouwqoz -> wonderland book wise magical magical
wbgwrs rfokg bsof -> inside draws near
bsof tczzckg waouwbsg uczrsb -> near follows imagines golden
rwgqcjsfg qfsohsg uczrsb kohqvsg ozwqs -> discovers creates golden watches alice
acigs kwgs rccf kohqvsg -> mouse wise door watches
dfwbqsgg dozoqs qvogsg dfwbqsgg ozwqs -> princess palace chases princess alice

Now, decrypt the following text: kwgs fsorg rfokg eissb",wise reads draws queen
text_subst_caesar_shift_it003_0008,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

napvrag napvrag napvrag vzntvarf -> ancient ancient ancient imagines
jvmneq vafvqr qbbe unggre qernzf jngpurf -> wizard inside door hatter dreams watches
jvmneq dhrra zntvpny perngrf zbhagnva zbhagnva -> wizard queen magical creates mountain mountain
jngpurf sbyybjf sbyybjf pnfgyr -> watches follows follows castle
vafvqr cevaprff napvrag -> inside princess ancient
zlfgrevbhf fghqrag napvrag -> mysterious student ancient
inyyrl unggre jngpurf fghqrag oveq -> valley hatter watches student bird
zntvpny cevaprff dhrra -> magical princess queen
haqre qernzf fghqrag -> under dreams student
frperg nyvpr jvmneq -> secret alice wizard

Now, decrypt the following text: zntvpny obbx oveq",magical book bird
text_subst_caesar_shift_it003_0009,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

eqodqf naaw yageq -> secret book mouse
omf paad efgpqzf -> cat door student
eqodqf yuddad gzpqd dqmpe naaw -> secret mirror under reads book
naaw iazpqdxmzp ykefqduage otmeqe -> book wonderland mysterious chases
paad uymsuzqe efgpqzf odqmfqe pueoahqde -> door imagines student creates discovers
nudp mzouqzf paad ymsuomx -> bird ancient door magical
dqmpe iazpqdxmzp bmxmoq omf -> reads wonderland palace cat
naaw pdmie omf pdmie dqmpe ykefqduage -> book draws cat draws reads mysterious

Now, decrypt the following text: ykefqduage uzeupq otmeqe pueoahqde",mysterious inside chases discovers
text_subst_caesar_shift_it003_0010,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

yjujln kxxt mxxa lanjcnb -> palace book door creates
mrblxenab lqjbnb frbn fjclqnb -> discovers chases wise watches
bnlanc wnja qjccna yjujln bcdmnwc -> secret near hatter palace student
bnlanc pxumnw ejuunh -> secret golden valley
lanjcnb oxuuxfb yarwlnbb bcdmnwc -> creates follows princess student
lqjbnb kxxt fjclqnb frbn vxdwcjrw -> chases book watches wise mountain
rwbrmn kram jurln -> inside bird alice
ljbcun anjmb majpxw dwmna -> castle reads dragon under
oxuuxfb bcdmnwc vjprlju bnlanc -> follows student magical secret
vraaxa yarwlnbb manjvb vraaxa rvjprwnb -> mirror princess dreams mirror imagines

Now, decrypt the following text: wnja mrblxenab ljc",near discovers cat
