id,prompt,answer
text_subst_mixed_it003_0001,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

fnoyxkqboy pnhjx fnoyxkqboy pbvtzbq ytjzngxkj -> wonderland mouse wonderland magical discovers
atky ytjzngxkj ykxbpj bqtzx zkxbixj tpbvtoxj -> bird discovers dreams alice creates imagines
hoyxk annr mbqbzx boztxoi -> under book palace ancient
tojtyx vnqyxo kxbyj ftcbky -> inside golden reads wizard
gbqqxd lhxxo ykbfj ykbfj bqtzx -> valley queen draws draws alice
pdjixktnhj ptkknk mktozxjj pdjixktnhj ykxbpj pbvtzbq -> mysterious mirror princess mysterious dreams magical
gbqqxd ubiixk pnhjx fbizuxj mktozxjj kxbyj -> valley hatter mouse watches princess reads
gbqqxd ftcbky fbizuxj ynnk jihyxoi -> valley wizard watches door student
kxbyj jihyxoi jihyxoi wnqqnfj oxbk -> reads student student follows near
ytjzngxkj mbqbzx mbqbzx -> discovers palace palace

Now, decrypt the following text: annr jxzkxi ykbfj",book secret draws
text_subst_mixed_it003_0002,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

ohym vcmly tbcmlyepcm -> bird under wonderland
upeelr dbvcwphc pcnhlcw dbvxl -> valley mountain ancient mouse
hdpjhclx vcmly mbby vcmly dbvxl -> imagines under door under mouse
nylpwlx dpjhnpe clpy hdpjhclx -> creates magical near imagines
dbvcwphc upeelr obbf ipwwly -> mountain valley book hatter
thqpym dhyyby xwvmlcw mypjbc -> wizard mirror student dragon
xwvmlcw mbby nylpwlx myptx thxl -> student door creates draws wise
upeelr xwvmlcw tpwnilx dpjhnpe dbvxl -> valley student watches magical mouse
tbcmlyepcm thqpym npxwel jbemlc pehnl ipwwly -> wonderland wizard castle golden alice hatter
hdpjhclx hcxhml pehnl pcnhlcw mbby -> imagines inside alice ancient door

Now, decrypt the following text: nipxlx dhyyby obbf xlnylw",chases mirror book secret
text_subst_mixed_it003_0003,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

oausyap jwaxi jwaxi fappwc -> magical reads reads valley
umpxwn nwaj emnxwjpanx -> golden near wonderland
osjjmj oausyap yjwahwi ocihwjsmgi omgiw -> mirror magical creates mysterious mouse
apsyw ihgxwnh fappwc -> alice student valley
vmppmei zmmq fappwc nwaj eahytwi nwaj -> follows book valley near watches near
ytaiwi vmppmei zsjx -> chases follows bird
xsiymfwji esiw omgiw -> discovers wise mouse
emnxwjpanx fappwc gnxwj -> wonderland valley under

Now, decrypt the following text: anyswnh kgwwn yjwahwi yah",ancient queen creates cat
text_subst_mixed_it003_0004,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

cqsdqb rduogh nubbqd ahrqd -> secret dragon hatter under
dqurc fujusq igacq snucqc pgjjgyc -> reads palace mouse chases follows
igacq yubsnqc yubsnqc yubsnqc imddgd -> mouse watches watches watches mirror
pgjjgyc ymcq tmdr sub ymvudr -> follows wise bird cat wizard
tmdr pgjjgyc nubbqd mhcmrq nubbqd -> bird follows hatter inside hatter
rmcsgzqdc tmdr sucbjq snucqc -> discovers bird castle chases
iwcbqdmgac rduogh sub dqurc cbarqhb -> mysterious dragon cat reads student
dqurc miuomhqc sdqubqc -> reads imagines creates

Now, decrypt the following text: sucbjq igacq ujmsq ahrqd",castle mouse alice under
text_subst_mixed_it003_0005,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

xeona jezjon ftzynajdxz vrypknz fdxzn rgjpn -> under inside mysterious watches mouse alice
enra ldgone ftzynajdxz pry ldgone kryyna -> near golden mysterious cat golden hatter
xeona cajepnzz crgrpn -> under princess palace
qjao ldgone wrggnt znpany -> bird golden valley secret
repjney fdxeyrje oarvz enra vjzn -> ancient mountain draws near wise
enra qddh oanrfz -> near book dreams
mdggdvz anroz oarvz pry enra -> follows reads draws cat near
qddh qjao jfrljenz enra vjzn -> book bird imagines near wise
panrynz przygn ldgone bxnne kryyna vrypknz -> creates castle golden queen hatter watches

Now, decrypt the following text: mdggdvz pry rgjpn qddh",follows cat alice book
text_subst_mixed_it003_0006,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

unes znwves drterc -> bird wizard secret
servjd sevzd shhe tovdrd -> dreams draws door chases
fbrri njvpnird zndr qhkkhzd tervcrd -> queen imagines wise follows creates
tvdckr jneehe jxdcrenhbd genitrdd dcbsric -> castle mirror mysterious princess student
ovccre bisre jhbdr avkkrx tovdrd phksri -> hatter under mouse valley chases golden
fbrri jxdcrenhbd drterc qhkkhzd tvdckr -> queen mysterious secret follows castle
fbrri avkkrx gvkvtr tervcrd uhhl -> queen valley palace creates book
dcbsric tervcrd ervsd genitrdd qhkkhzd avkkrx -> student creates reads princess follows valley

Now, decrypt the following text: zhisrekvis znwves phksri vkntr",wonderland wizard golden alice
text_subst_mixed_it003_0007,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

xsiymfwji nwaj yjwahwi xjaumn kgwwn zsjx -> discovers near creates dragon queen bird
ytaiwi omgnhasn fappwc yah jwaxi iwyjwh -> chases mountain valley cat reads secret
umpxwn anyswnh xsiymfwji yah yjwahwi -> golden ancient discovers cat creates
ytaiwi yaihpw yaihpw -> chases castle castle
nwaj umpxwn xjaei soausnwi -> near golden draws imagines
oausyap xsiymfwji esbajx snisxw yah xmmj -> magical discovers wizard inside cat door
esiw kgwwn zsjx soausnwi -> wise queen bird imagines
eahytwi emnxwjpanx omgnhasn oausyap yah oausyap -> watches wonderland mountain magical cat magical
vmppmei osjjmj esbajx nwaj osjjmj esbajx -> follows mirror wizard near mirror wizard
ytaiwi ocihwjsmgi yjwahwi -> chases mysterious creates

Now, decrypt the following text: lapayw jwaxi",palace reads
text_subst_mixed_it003_0008,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

jihyxoi mktozxjj pdjixktnhj -> student princess mysterious
annr kxbyj zubjxj zbi -> book reads chases cat
vnqyxo boztxoi gbqqxd pnhoibto pnhoibto -> golden ancient valley mountain mountain
fbizuxj pnhjx bqtzx mktozxjj jihyxoi fnoyxkqboy -> watches mouse alice princess student wonderland
mbqbzx ftcbky fbizuxj lhxxo -> palace wizard watches queen
bqtzx vnqyxo annr jxzkxi -> alice golden book secret
zkxbixj zubjxj zubjxj -> creates chases chases
tpbvtoxj ykbfj oxbk gbqqxd -> imagines draws near valley
jxzkxi pnhoibto ynnk annr zkxbixj -> secret mountain door book creates
tpbvtoxj ytjzngxkj tpbvtoxj lhxxo -> imagines discovers imagines queen

Now, decrypt the following text: pnhoibto bqtzx jihyxoi wnqqnfj",mountain alice student follows
text_subst_mixed_it003_0009,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

iwcbqdmgac eaqqh rmcsgzqdc yubsnqc cqsdqb sdqubqc -> mysterious queen discovers watches secret creates
igahbumh igahbumh ahrqd fdmhsqcc tmdr -> mountain mountain under princess bird
rggd cqsdqb rggd ahrqd -> door secret door under
nubbqd dqurc rduogh -> hatter reads dragon
rduogh rggd snucqc eaqqh nubbqd yubsnqc -> dragon door chases queen hatter watches
fujusq sucbjq rmcsgzqdc ogjrqh miuomhqc miuomhqc -> palace castle discovers golden imagines imagines
ymvudr rggd hqud -> wizard door near
zujjqw igahbumh ahrqd -> valley mountain under
ymvudr igacq ymvudr rduogh -> wizard mouse wizard dragon

Now, decrypt the following text: snucqc iuomsuj dqurc",chases magical reads
text_subst_mixed_it003_0010,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

lgvvci tcgp ocepcn -> valley near secret
qmcct dpgko usmtngyt ocepcn -> queen draws mountain secret
ytoydc qmcct qmcct dyoeslcpo tcgp -> inside queen queen discovers near
asvdct uyppsp dyoeslcpo ytoydc ocepcn dpgast -> golden mirror discovers inside secret dragon
dssp kyhgpd qmcct kstdcpvgtd onmdctn -> door wizard queen wonderland student
kgnezco rgvgec kgnezco egonvc kyhgpd -> watches palace watches castle wizard
ytoydc dyoeslcpo kgnezco zgnncp dyoeslcpo -> inside discovers watches hatter discovers
uioncpysmo uioncpysmo ocepcn -> mysterious mysterious secret
kstdcpvgtd ezgoco dssp dpgast gteyctn -> wonderland chases door dragon ancient
uioncpysmo dpgko gvyec usmoc kgnezco fssw -> mysterious draws alice mouse watches book

Now, decrypt the following text: mtdcp gvyec",under alice
