id,prompt,answer
text_subst_custom_mapping_it003_0001,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

wudtha ocaowd zouw kftada kty htrokte -> dreams inside bird chases cat magical
kftada vseesla adkudy htrokte -> chases follows secret magical
wssu ktayed zssm -> door castle book
zouw htrokte zouw kftada ftyydu -> bird magical bird chases hatter
kftada wutrsc adkudy -> chases dragon secret
ohtrocda cdtu wutrsc ocaowd wutrsc zssm -> imagines near dragon inside dragon book
rsewdc hbayduosxa load zouw -> golden mysterious wise bird
cdtu wssu ftyydu udtwa lscwduetcw rsewdc -> near door hatter reads wonderland golden
ltykfda woaksidua udtwa load ltykfda -> watches discovers reads wise watches
houusu ocaowd hsxcytoc -> mirror inside mountain

Now, decrypt the following text: vseesla udtwa",follows reads
text_subst_custom_mapping_it003_0002,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

uxhgthl egrpugf cvsyhxfgsy ugltfh imhhs -> creates magical wonderland castle queen
pegrpshl xhgyl imhhs uxhgthl cgtuahl -> imagines reads queen creates watches
ypluvjhxl nxpsuhll agtthx cplh -> discovers princess hatter wise
epxxvx evmlh epxxvx ltmyhst -> mirror mouse mirror student
gfpuh zvffvcl shgx zvffvcl -> alice follows near follows
bvvw zvffvcl jgffhq evmlh yxgcl -> book follows valley mouse draws
msyhx yxgrvs bpxy xhgyl gfpuh yxgcl -> under dragon bird reads alice draws
ugltfh gfpuh cplh eqlthxpvml cplh ltmyhst -> castle alice wise mysterious wise student
nxpsuhll msyhx rvfyhs pslpyh -> princess under golden inside
yxgrvs eqlthxpvml ugt cplh lhuxht -> dragon mysterious cat wise secret

Now, decrypt the following text: uxhgthl shgx yvvx ugt",creates near door cat
text_subst_custom_mapping_it003_0003,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

kjrsfs bguycrzy uyxfo xggo nozykfss uyxfo -> chases mountain under door princess under
agexfy tgyxfoeryx kjrsfs krc dggp kjrsfs -> golden wonderland chases cat book chases
scuxfyc xorts tzwrox tgyxfoeryx rykzfyc zbrazyfs -> student draws wizard wonderland ancient imagines
nozykfss xofrbs yfro -> princess dreams near
bgusf brazkre bguycrzy xggo -> mouse magical mountain door
dggp zbrazyfs krscef krc xoragy -> book imagines castle cat dragon
xofrbs luffy trckjfs zyszxf kofrcfs -> dreams queen watches inside creates
kjrsfs xofrbs kjrsfs tgyxfoeryx uyxfo -> chases dreams chases wonderland under

Now, decrypt the following text: jrccfo xofrbs tzwrox rykzfyc",hatter dreams wizard ancient
text_subst_custom_mapping_it003_0004,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

czfdyh czfdyh ydokrdl -> dreams dreams magical
nksdzc rzfdifh yvghf czdnh kydoktfh yvghf -> wizard creates mouse draws imagines mouse
rxdhfh nkhf bdllfa ovlcft kthkcf -> chases wise valley golden inside
ykzzvz wkzc higcfti rxdhfh nkhf -> mirror bird student chases wise
yahifzkvgh mvllvnh gtcfz ykzzvz pdldrf rdhilf -> mysterious follows under mirror palace castle
ovlcft cvvz ykzzvz -> golden door mirror
rdhilf rxdhfh cvvz nksdzc nvtcfzldtc -> castle chases door wizard wonderland
rdhilf nkhf yvgtidkt nkhf ckhrvbfzh -> castle wise mountain wise discovers
nkhf rxdhfh rxdhfh yvgtidkt -> wise chases chases mountain

Now, decrypt the following text: czdovt mvllvnh nkhf",dragon follows wise
text_subst_custom_mapping_it003_0005,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

mettz fghhjh cjvitz qskkth -> queen mirror golden hatter
fscgxsv ztsh wtxhtk -> magical near secret
fbwkthgjew fbwkthgjew mettz mettz xsk wtxhtk -> mysterious mysterious queen queen cat secret
htsiw rjzithvszi szxgtzk fbwkthgjew -> reads wonderland ancient mysterious
htsiw wtxhtk fghhjh -> reads secret mirror
xsk xqswtw htsiw qskkth ihsrw gfscgztw -> cat chases reads hatter draws imagines
ughi rgwt rgashi -> bird wise wizard
rgashi htsiw xqswtw htsiw qskkth svgxt -> wizard reads chases reads hatter alice

Now, decrypt the following text: wkeitzk fscgxsv qskkth",student magical hatter
text_subst_custom_mapping_it003_0006,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

hdvgig hbivuig bivag mvuhdig xqbbob -> chases creates reads watches mirror
dvuuib qpgqai mqgi wocaip gihbiu -> hatter inside wise golden secret
aqghotibg aoob xvwqhvc dvuuib -> discovers door magical hatter
xokpuvqp noccomg xvwqhvc hdvgig gukaipu -> mountain follows magical chases student
mqzvba xvwqhvc ebqphigg qpgqai -> wizard magical princess inside
gihbiu hvguci mopaibcvpa xqbbob evcvhi -> secret castle wonderland mirror palace
pivb vphqipu qpgqai aoob abvwop dvuuib -> near ancient inside door dragon hatter
kpaib gukaipu qpgqai -> under student inside
mqzvba pivb hbivuig xvwqhvc abivxg vcqhi -> wizard near creates magical dreams alice

Now, decrypt the following text: vcqhi qxvwqpig",alice imagines
text_subst_custom_mapping_it003_0007,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

yhxxrk wncbr sgbr dgoa dgoa gfbgar -> valley mouse wise bird bird inside
aohlnf gfbgar gwhlgfrb wncbr bzcarfz -> dragon inside imagines mouse student
shztprb hftgrfz sgbr orhab aohsb dgoa -> watches ancient wise reads draws bird
thbzxr thz thz brtorz -> castle cat cat secret
cfaro icrrf sgbr sgbr bzcarfz -> under queen wise wise student
thz cfaro thbzxr uogftrbb aohsb shztprb -> cat under castle princess draws watches
shztprb phzzro wkbzrogncb shztprb icrrf -> watches hatter mysterious watches queen
agbtnyrob aorhwb dnnq bzcarfz wgoono -> discovers dreams book student mirror
icrrf sgehoa uogftrbb uhxhtr wgoono -> queen wizard princess palace mirror

Now, decrypt the following text: shztprb sgehoa",watches wizard
text_subst_custom_mapping_it003_0008,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

zkkh oyprqd jrbbpy dbiopvb dpuypb -> book dreams hatter student secret
ermmpt qrcwurm rmwup dpuypb qkidp zwyo -> valley magical alice secret mouse bird
ivopy xywvupdd rvuwpvb qwyyky qwyyky -> under princess ancient mirror mirror
qkidp oyprqd urdbmp -> mouse dreams castle
qtdbpywkid owdukepyd jrbbpy dpuypb rvuwpvb xrmrup -> mysterious discovers hatter secret ancient palace
dpuypb owdukepyd yprod -> secret discovers reads
fwdp dbiopvb ckmopv -> wise student golden
qkivbrwv ermmpt qwyyky ermmpt frbujpd -> mountain valley mirror valley watches
qrcwurm xywvupdd okky -> magical princess door

Now, decrypt the following text: ckmopv urb dbiopvb",golden cat student
text_subst_custom_mapping_it003_0009,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

xqyyfy bqcg xfncg rzaagj -> mirror wise mouse valley
ozazpg vffy ygzvc xjcsgyqfnc xfnwszqw cgpygs -> palace door reads mysterious mountain secret
bfwvgyazwv qxzmqwgc tnggw -> wonderland imagines queen
xzmqpza vygzxc pzs vffy qxzmqwgc -> magical dreams cat door imagines
oyqwpgcc puzcgc xqyyfy vyzbc cgpygs -> princess chases mirror draws secret
bzspugc mfavgw bfwvgyazwv -> watches golden wonderland
qxzmqwgc qxzmqwgc xfncg ozazpg hffe lfaafbc -> imagines imagines mouse palace book follows
csnvgws ozazpg lfaafbc -> student palace follows
mfavgw qwcqvg tnggw qwcqvg -> golden inside queen inside
rzaagj mfavgw wgzy zwpqgws vffy -> valley golden near ancient door

Now, decrypt the following text: pzs pzs oyqwpgcc",cat cat princess
text_subst_custom_mapping_it003_0010,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

cbfoan edlfbc ydbc rbdntkmm nkfb rfiftk -> dragon wizard bird princess near palace
cbkfzm tfmjik rfiftk -> dreams castle palace
oaickn edmk cbfem -> golden wise draws
zaxmk yaav nkfb -> mouse book near
zaxnjfdn sxkkn uaiiaem eanckbifnc -> mountain queen follows wonderland
zaxmk uaiiaem fntdknj caab zqmjkbdaxm fntdknj -> mouse follows ancient door mysterious ancient
fidtk gfjjkb mktbkj dnmdck ydbc -> alice hatter secret inside bird
cbkfzm gfjjkb tbkfjkm bkfcm caab caab -> dreams hatter creates reads door door
edmk tfj edlfbc tgfmkm dnmdck -> wise cat wizard chases inside

Now, decrypt the following text: rbdntkmm caab",princess door
