id,prompt,answer
text_subst_reverse_alphabet_it003_0001,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

zmxrvmg nlfhv wiztlm -> ancient mouse dragon
rmhrwv xszhvh rmhrwv yriw xivzgvh -> inside chases inside bird creates
fmwvi ezoovb xzhgov tlowvm -> under valley castle golden
hgfwvmg draziw ulooldh ulooldh ezoovb -> student wizard follows follows valley
wlli wrhxlevih xivzgvh szggvi nztrxzo -> door discovers creates hatter magical
xzhgov kzozxv kirmxvhh -> castle palace princess
drhv xzhgov hvxivg wrhxlevih -> wise castle secret discovers
wlli wrhxlevih xszhvh -> door discovers chases

Now, decrypt the following text: yriw ezoovb",bird valley
text_subst_reverse_alphabet_it003_0002,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

tlowvm wizdh kzozxv -> golden draws palace
nriili wivznh dzgxsvh yllp -> mirror dreams watches book
ezoovb dlmwviozmw rnztrmvh xivzgvh -> valley wonderland imagines creates
kzozxv xszhvh xszhvh nlfhv jfvvm wizdh -> palace chases chases mouse queen draws
fmwvi szggvi xivzgvh xzhgov hgfwvmg dzgxsvh -> under hatter creates castle student watches
nbhgvirlfh draziw ulooldh wiztlm draziw fmwvi -> mysterious wizard follows dragon wizard under
xzhgov wivznh dlmwviozmw mvzi hgfwvmg -> castle dreams wonderland near student
nbhgvirlfh tlowvm yllp ulooldh zorxv -> mysterious golden book follows alice
xzg hgfwvmg xzhgov nlfmgzrm tlowvm -> cat student castle mountain golden

Now, decrypt the following text: wivznh kzozxv nriili",dreams palace mirror
text_subst_reverse_alphabet_it003_0003,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

wivznh tlowvm mvzi dlmwviozmw -> dreams golden near wonderland
rmhrwv xivzgvh ulooldh nlfhv wlli -> inside creates follows mouse door
kzozxv rnztrmvh ezoovb -> palace imagines valley
mvzi jfvvm rnztrmvh fmwvi -> near queen imagines under
ulooldh hgfwvmg dlmwviozmw dlmwviozmw drhv dlmwviozmw -> follows student wonderland wonderland wise wonderland
nztrxzo hgfwvmg szggvi nlfhv wlli -> magical student hatter mouse door
yllp tlowvm yriw kzozxv -> book golden bird palace
ezoovb ezoovb xivzgvh nriili -> valley valley creates mirror
wivznh nlfmgzrm szggvi nriili -> dreams mountain hatter mirror

Now, decrypt the following text: dzgxsvh hvxivg",watches secret
text_subst_reverse_alphabet_it003_0004,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

ulooldh rmhrwv yriw yriw yllp nriili -> follows inside bird bird book mirror
mvzi xivzgvh szggvi nbhgvirlfh -> near creates hatter mysterious
jfvvm nztrxzo kzozxv zmxrvmg -> queen magical palace ancient
nztrxzo ulooldh xzg -> magical follows cat
wivznh xzg tlowvm ulooldh -> dreams cat golden follows
xzhgov ezoovb drhv -> castle valley wise
xszhvh szggvi rnztrmvh -> chases hatter imagines
ivzwh hgfwvmg zorxv zorxv tlowvm zmxrvmg -> reads student alice alice golden ancient
dzgxsvh jfvvm wrhxlevih mvzi wiztlm -> watches queen discovers near dragon
draziw xivzgvh xivzgvh -> wizard creates creates

Now, decrypt the following text: ulooldh zorxv",follows alice
text_subst_reverse_alphabet_it003_0005,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

dlmwviozmw ulooldh nztrxzo -> wonderland follows magical
zorxv hvxivg rnztrmvh szggvi wrhxlevih -> alice secret imagines hatter discovers
nztrxzo drhv hvxivg -> magical wise secret
zmxrvmg kirmxvhh draziw ulooldh -> ancient princess wizard follows
nztrxzo ulooldh drhv -> magical follows wise
dlmwviozmw nlfmgzrm ulooldh nriili -> wonderland mountain follows mirror
draziw nlfhv drhv -> wizard mouse wise
wizdh jfvvm hgfwvmg -> draws queen student

Now, decrypt the following text: wivznh nbhgvirlfh hvxivg nztrxzo",dreams mysterious secret magical
text_subst_reverse_alphabet_it003_0006,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

ulooldh xzhgov drhv -> follows castle wise
zorxv nlfhv hgfwvmg -> alice mouse student
tlowvm szggvi hgfwvmg szggvi dlmwviozmw dzgxsvh -> golden hatter student hatter wonderland watches
kzozxv ivzwh fmwvi tlowvm hvxivg zmxrvmg -> palace reads under golden secret ancient
xzhgov xszhvh rnztrmvh fmwvi drhv -> castle chases imagines under wise
wivznh fmwvi zmxrvmg zmxrvmg nriili hvxivg -> dreams under ancient ancient mirror secret
yriw nriili rnztrmvh -> bird mirror imagines
jfvvm yllp nztrxzo ivzwh dzgxsvh -> queen book magical reads watches
wiztlm xzhgov nbhgvirlfh nlfmgzrm -> dragon castle mysterious mountain
szggvi xivzgvh tlowvm xzhgov draziw zorxv -> hatter creates golden castle wizard alice

Now, decrypt the following text: xzg ulooldh drhv",cat follows wise
text_subst_reverse_alphabet_it003_0007,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

tlowvm jfvvm fmwvi kirmxvhh nlfmgzrm nlfmgzrm -> golden queen under princess mountain mountain
kirmxvhh jfvvm nbhgvirlfh wizdh -> princess queen mysterious draws
nlfmgzrm ivzwh fmwvi -> mountain reads under
dzgxsvh mvzi szggvi hgfwvmg kirmxvhh -> watches near hatter student princess
xivzgvh wizdh zmxrvmg -> creates draws ancient
tlowvm szggvi nlfmgzrm -> golden hatter mountain
wlli ulooldh rmhrwv jfvvm ezoovb -> door follows inside queen valley
wlli yllp xszhvh ezoovb xszhvh hgfwvmg -> door book chases valley chases student
rmhrwv wizdh ulooldh nbhgvirlfh nztrxzo -> inside draws follows mysterious magical

Now, decrypt the following text: wlli nztrxzo kzozxv hgfwvmg",door magical palace student
text_subst_reverse_alphabet_it003_0008,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

szggvi xszhvh hvxivg -> hatter chases secret
hgfwvmg ivzwh nriili xivzgvh wivznh ulooldh -> student reads mirror creates dreams follows
mvzi rmhrwv kirmxvhh szggvi nbhgvirlfh wlli -> near inside princess hatter mysterious door
rnztrmvh hgfwvmg mvzi hgfwvmg szggvi -> imagines student near student hatter
zmxrvmg nlfhv rnztrmvh nlfmgzrm nlfhv xzg -> ancient mouse imagines mountain mouse cat
tlowvm nbhgvirlfh hgfwvmg -> golden mysterious student
mvzi ulooldh yllp nlfhv -> near follows book mouse
jfvvm wlli wizdh dzgxsvh zmxrvmg -> queen door draws watches ancient
mvzi rmhrwv wiztlm drhv dzgxsvh -> near inside dragon wise watches

Now, decrypt the following text: szggvi xivzgvh",hatter creates
text_subst_reverse_alphabet_it003_0009,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

jfvvm xszhvh rmhrwv -> queen chases inside
xszhvh nlfmgzrm wrhxlevih -> chases mountain discovers
ivzwh hvxivg wizdh -> reads secret draws
drhv ulooldh ivzwh ivzwh -> wise follows reads reads
ulooldh nbhgvirlfh wizdh wlli ivzwh mvzi -> follows mysterious draws door reads near
hgfwvmg wizdh ivzwh wrhxlevih -> student draws reads discovers
ivzwh wrhxlevih fmwvi jfvvm xszhvh -> reads discovers under queen chases
hgfwvmg tlowvm tlowvm yriw nbhgvirlfh rnztrmvh -> student golden golden bird mysterious imagines
mvzi nbhgvirlfh xivzgvh -> near mysterious creates

Now, decrypt the following text: kzozxv yllp",palace book
text_subst_reverse_alphabet_it003_0010,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

ezoovb xzg ulooldh nlfmgzrm rnztrmvh xzg -> valley cat follows mountain imagines cat
mvzi drhv hgfwvmg mvzi drhv fmwvi -> near wise student near wise under
wiztlm nztrxzo tlowvm kzozxv fmwvi -> dragon magical golden palace under
dzgxsvh jfvvm yllp hvxivg ezoovb -> watches queen book secret valley
fmwvi wiztlm hgfwvmg ivzwh nlfmgzrm xzhgov -> under dragon student reads mountain castle
zorxv dzgxsvh ulooldh zorxv drhv wrhxlevih -> alice watches follows alice wise discovers
drhv wlli xzhgov dzgxsvh -> wise door castle watches
rmhrwv wizdh wlli zorxv dlmwviozmw jfvvm -> inside draws door alice wonderland queen
wiztlm dzgxsvh yriw wivznh -> dragon watches bird dreams
nbhgvirlfh wlli wiztlm -> mysterious door dragon

Now, decrypt the following text: nriili wlli zmxrvmg ivzwh",mirror door ancient reads
text_subst_reverse_alphabet_it003_0011,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

xzhgov zorxv mvzi -> castle alice near
jfvvm drhv nztrxzo nbhgvirlfh xzhgov kirmxvhh -> queen wise magical mysterious castle princess
wlli hgfwvmg hgfwvmg nbhgvirlfh -> door student student mysterious
xzhgov wizdh kirmxvhh mvzi hvxivg zorxv -> castle draws princess near secret alice
wrhxlevih nlfmgzrm yllp dzgxsvh wiztlm ivzwh -> discovers mountain book watches dragon reads
mvzi nlfmgzrm jfvvm drhv kzozxv -> near mountain queen wise palace
zorxv fmwvi ivzwh hvxivg -> alice under reads secret
xzg hvxivg nztrxzo wlli xzhgov -> cat secret magical door castle
kzozxv zorxv jfvvm -> palace alice queen

Now, decrypt the following text: kzozxv nbhgvirlfh",palace mysterious
text_subst_reverse_alphabet_it003_0012,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

tlowvm xzhgov yllp zorxv hgfwvmg draziw -> golden castle book alice student wizard
ulooldh drhv zorxv wiztlm ivzwh draziw -> follows wise alice dragon reads wizard
jfvvm nlfhv kzozxv yriw wivznh -> queen mouse palace bird dreams
kzozxv nlfhv zmxrvmg nlfmgzrm nztrxzo hgfwvmg -> palace mouse ancient mountain magical student
tlowvm dlmwviozmw xzhgov kirmxvhh wivznh -> golden wonderland castle princess dreams
draziw zorxv ulooldh szggvi szggvi xszhvh -> wizard alice follows hatter hatter chases
nlfmgzrm tlowvm nztrxzo -> mountain golden magical
rnztrmvh yllp wizdh nriili wrhxlevih tlowvm -> imagines book draws mirror discovers golden
rnztrmvh fmwvi nbhgvirlfh zorxv draziw ezoovb -> imagines under mysterious alice wizard valley

Now, decrypt the following text: zorxv wizdh dzgxsvh",alice draws watches
text_subst_reverse_alphabet_it003_0013,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

wrhxlevih rmhrwv draziw ezoovb wlli ivzwh -> discovers inside wizard valley door reads
drhv ivzwh wizdh hvxivg -> wise reads draws secret
nbhgvirlfh ulooldh jfvvm xzg rnztrmvh -> mysterious follows queen cat imagines
jfvvm rmhrwv nztrxzo nbhgvirlfh -> queen inside magical mysterious
szggvi zorxv kzozxv nbhgvirlfh drhv -> hatter alice palace mysterious wise
zmxrvmg dlmwviozmw yllp -> ancient wonderland book
wizdh ezoovb ulooldh zmxrvmg -> draws valley follows ancient
zmxrvmg szggvi jfvvm -> ancient hatter queen

Now, decrypt the following text: dzgxsvh mvzi",watches near
text_subst_reverse_alphabet_it003_0014,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

nlfhv nriili wlli wiztlm drhv -> mouse mirror door dragon wise
tlowvm nlfhv jfvvm -> golden mouse queen
wivznh mvzi zorxv mvzi ezoovb -> dreams near alice near valley
hvxivg hgfwvmg nztrxzo wivznh rmhrwv nlfmgzrm -> secret student magical dreams inside mountain
wrhxlevih jfvvm rnztrmvh ezoovb -> discovers queen imagines valley
fmwvi tlowvm wrhxlevih wivznh -> under golden discovers dreams
wlli ulooldh szggvi xszhvh -> door follows hatter chases
nbhgvirlfh ivzwh mvzi rnztrmvh wivznh -> mysterious reads near imagines dreams
kzozxv dlmwviozmw ivzwh tlowvm dzgxsvh ivzwh -> palace wonderland reads golden watches reads

Now, decrypt the following text: hgfwvmg hvxivg",student secret
text_subst_reverse_alphabet_it003_0015,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

nbhgvirlfh dlmwviozmw kzozxv ivzwh hgfwvmg dlmwviozmw -> mysterious wonderland palace reads student wonderland
fmwvi kirmxvhh zmxrvmg ulooldh mvzi -> under princess ancient follows near
rmhrwv yllp wlli dlmwviozmw xzhgov -> inside book door wonderland castle
wlli zmxrvmg wrhxlevih rmhrwv ezoovb -> door ancient discovers inside valley
rmhrwv wlli xzhgov jfvvm -> inside door castle queen
xivzgvh yllp nztrxzo nbhgvirlfh wiztlm fmwvi -> creates book magical mysterious dragon under
ivzwh nlfmgzrm hgfwvmg -> reads mountain student
fmwvi hvxivg rnztrmvh fmwvi yriw -> under secret imagines under bird

Now, decrypt the following text: yllp zorxv fmwvi kzozxv",book alice under palace
text_subst_reverse_alphabet_it003_0016,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

nriili xivzgvh drhv rnztrmvh wiztlm -> mirror creates wise imagines dragon
szggvi xzg yriw -> hatter cat bird
hvxivg ezoovb xszhvh draziw yriw wlli -> secret valley chases wizard bird door
xivzgvh hvxivg ivzwh nlfmgzrm yriw -> creates secret reads mountain bird
fmwvi xzhgov xszhvh ulooldh wiztlm wiztlm -> under castle chases follows dragon dragon
kirmxvhh nlfmgzrm yriw ulooldh -> princess mountain bird follows
dlmwviozmw kzozxv yllp -> wonderland palace book
ivzwh xivzgvh xivzgvh xzg -> reads creates creates cat

Now, decrypt the following text: rnztrmvh yllp",imagines book
text_subst_reverse_alphabet_it003_0017,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

yllp szggvi ezoovb rmhrwv wizdh -> book hatter valley inside draws
jfvvm xivzgvh tlowvm wizdh -> queen creates golden draws
wivznh wrhxlevih rmhrwv -> dreams discovers inside
xszhvh wizdh hgfwvmg nriili nlfhv nztrxzo -> chases draws student mirror mouse magical
kzozxv jfvvm xszhvh hvxivg wiztlm -> palace queen chases secret dragon
xzhgov rmhrwv nlfmgzrm fmwvi ulooldh tlowvm -> castle inside mountain under follows golden
nztrxzo nztrxzo xivzgvh tlowvm wizdh -> magical magical creates golden draws
wizdh nlfhv nlfhv wizdh jfvvm wivznh -> draws mouse mouse draws queen dreams
nlfmgzrm kirmxvhh nbhgvirlfh hvxivg tlowvm draziw -> mountain princess mysterious secret golden wizard
yriw dlmwviozmw tlowvm nbhgvirlfh ivzwh nztrxzo -> bird wonderland golden mysterious reads magical

Now, decrypt the following text: hgfwvmg rnztrmvh nlfhv xzg",student imagines mouse cat
text_subst_reverse_alphabet_it003_0018,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

wrhxlevih ulooldh nlfhv -> discovers follows mouse
mvzi hgfwvmg dzgxsvh -> near student watches
xzhgov ezoovb rmhrwv -> castle valley inside
szggvi ulooldh rnztrmvh -> hatter follows imagines
zmxrvmg mvzi wrhxlevih -> ancient near discovers
ivzwh tlowvm mvzi -> reads golden near
nbhgvirlfh ivzwh wiztlm nztrxzo -> mysterious reads dragon magical
xszhvh jfvvm wrhxlevih zorxv -> chases queen discovers alice
yllp draziw yriw mvzi nriili -> book wizard bird near mirror
xivzgvh xzhgov draziw ivzwh kirmxvhh -> creates castle wizard reads princess

Now, decrypt the following text: ivzwh dzgxsvh",reads watches
text_subst_reverse_alphabet_it003_0019,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

ivzwh wlli wiztlm nztrxzo ulooldh hgfwvmg -> reads door dragon magical follows student
dzgxsvh xivzgvh xzg nlfhv yriw wlli -> watches creates cat mouse bird door
nbhgvirlfh zorxv dlmwviozmw nlfmgzrm -> mysterious alice wonderland mountain
xivzgvh wizdh nlfhv -> creates draws mouse
zmxrvmg nztrxzo nztrxzo zorxv -> ancient magical magical alice
xivzgvh dlmwviozmw dlmwviozmw -> creates wonderland wonderland
wlli nlfmgzrm dlmwviozmw -> door mountain wonderland
fmwvi hgfwvmg rnztrmvh kzozxv nbhgvirlfh -> under student imagines palace mysterious

Now, decrypt the following text: dzgxsvh hgfwvmg ivzwh",watches student reads
text_subst_reverse_alphabet_it003_0020,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

yriw hgfwvmg tlowvm nbhgvirlfh -> bird student golden mysterious
kzozxv szggvi wiztlm jfvvm yriw -> palace hatter dragon queen bird
wlli rnztrmvh nbhgvirlfh -> door imagines mysterious
ulooldh xzhgov rmhrwv -> follows castle inside
nlfmgzrm rmhrwv ulooldh zmxrvmg ivzwh mvzi -> mountain inside follows ancient reads near
rmhrwv mvzi hvxivg -> inside near secret
rmhrwv draziw kzozxv draziw nlfmgzrm mvzi -> inside wizard palace wizard mountain near
drhv rnztrmvh zorxv -> wise imagines alice
hgfwvmg ezoovb ivzwh ulooldh -> student valley reads follows
wivznh nlfmgzrm xszhvh draziw tlowvm -> dreams mountain chases wizard golden

Now, decrypt the following text: nlfmgzrm kirmxvhh jfvvm nztrxzo",mountain princess queen magical
text_subst_reverse_alphabet_it003_0021,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

wivznh drhv nlfhv ezoovb yllp ivzwh -> dreams wise mouse valley book reads
xszhvh yriw wivznh dlmwviozmw -> chases bird dreams wonderland
zorxv dzgxsvh xzhgov wivznh xszhvh -> alice watches castle dreams chases
wiztlm draziw rmhrwv -> dragon wizard inside
ezoovb xszhvh xzg -> valley chases cat
dzgxsvh hgfwvmg nlfhv dlmwviozmw hvxivg -> watches student mouse wonderland secret
zorxv zorxv nbhgvirlfh nztrxzo jfvvm nbhgvirlfh -> alice alice mysterious magical queen mysterious
nriili drhv nriili -> mirror wise mirror
kirmxvhh rmhrwv ulooldh wiztlm draziw yriw -> princess inside follows dragon wizard bird

Now, decrypt the following text: ulooldh jfvvm zorxv xszhvh",follows queen alice chases
text_subst_reverse_alphabet_it003_0022,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

yllp hgfwvmg hvxivg tlowvm xszhvh -> book student secret golden chases
jfvvm xzg ivzwh zmxrvmg -> queen cat reads ancient
wrhxlevih draziw xzg mvzi zorxv ezoovb -> discovers wizard cat near alice valley
wiztlm drhv dlmwviozmw xzg -> dragon wise wonderland cat
dlmwviozmw nbhgvirlfh jfvvm jfvvm wrhxlevih ulooldh -> wonderland mysterious queen queen discovers follows
wlli fmwvi wrhxlevih -> door under discovers
yriw hvxivg zorxv kirmxvhh nriili rmhrwv -> bird secret alice princess mirror inside
yllp xzhgov nlfmgzrm mvzi -> book castle mountain near
nbhgvirlfh nlfhv nbhgvirlfh -> mysterious mouse mysterious
xzg nbhgvirlfh wiztlm nlfmgzrm yriw ivzwh -> cat mysterious dragon mountain bird reads

Now, decrypt the following text: yllp xszhvh xszhvh nztrxzo",book chases chases magical
text_subst_reverse_alphabet_it003_0023,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

zorxv rmhrwv mvzi draziw rnztrmvh -> alice inside near wizard imagines
rnztrmvh xszhvh tlowvm -> imagines chases golden
xzhgov szggvi nlfmgzrm nbhgvirlfh fmwvi -> castle hatter mountain mysterious under
wivznh yllp yriw dlmwviozmw wrhxlevih -> dreams book bird wonderland discovers
wiztlm wizdh szggvi xszhvh xzg -> dragon draws hatter chases cat
zorxv nlfhv nztrxzo xzg wrhxlevih -> alice mouse magical cat discovers
dzgxsvh kirmxvhh nztrxzo hvxivg -> watches princess magical secret
draziw xzg ivzwh -> wizard cat reads
nztrxzo nlfhv yriw wiztlm xszhvh xzhgov -> magical mouse bird dragon chases castle

Now, decrypt the following text: wrhxlevih ezoovb",discovers valley
text_subst_reverse_alphabet_it003_0024,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

wizdh hgfwvmg xivzgvh yriw yriw -> draws student creates bird bird
ezoovb wlli wiztlm -> valley door dragon
xzhgov szggvi nlfmgzrm wlli -> castle hatter mountain door
wivznh zorxv dzgxsvh wrhxlevih -> dreams alice watches discovers
jfvvm xzhgov draziw -> queen castle wizard
kirmxvhh wizdh nlfmgzrm ezoovb ivzwh -> princess draws mountain valley reads
zorxv yllp xivzgvh xszhvh -> alice book creates chases
ezoovb zorxv dzgxsvh yriw hgfwvmg -> valley alice watches bird student
wiztlm yriw dzgxsvh -> dragon bird watches
wrhxlevih ivzwh szggvi xszhvh -> discovers reads hatter chases

Now, decrypt the following text: hgfwvmg kzozxv",student palace
text_subst_reverse_alphabet_it003_0025,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

ulooldh ulooldh wlli nlfmgzrm -> follows follows door mountain
nlfmgzrm nbhgvirlfh jfvvm -> mountain mysterious queen
mvzi nbhgvirlfh yllp xzhgov nriili mvzi -> near mysterious book castle mirror near
nbhgvirlfh hgfwvmg zorxv nlfhv hgfwvmg tlowvm -> mysterious student alice mouse student golden
zorxv xzg wlli -> alice cat door
rnztrmvh xszhvh nztrxzo -> imagines chases magical
wizdh fmwvi hvxivg mvzi yriw -> draws under secret near bird
zorxv hgfwvmg mvzi -> alice student near
ivzwh ezoovb wizdh -> reads valley draws

Now, decrypt the following text: xivzgvh rnztrmvh wivznh wivznh",creates imagines dreams dreams
text_subst_reverse_alphabet_it003_0026,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

jfvvm yllp draziw ezoovb xzhgov -> queen book wizard valley castle
nlfhv nbhgvirlfh hgfwvmg tlowvm ulooldh drhv -> mouse mysterious student golden follows wise
zorxv dlmwviozmw dzgxsvh fmwvi -> alice wonderland watches under
nztrxzo wlli nbhgvirlfh -> magical door mysterious
dzgxsvh draziw dzgxsvh draziw -> watches wizard watches wizard
kzozxv yriw zmxrvmg hgfwvmg hvxivg hvxivg -> palace bird ancient student secret secret
kzozxv nriili zmxrvmg ezoovb dlmwviozmw -> palace mirror ancient valley wonderland
ezoovb nlfmgzrm wiztlm -> valley mountain dragon
nbhgvirlfh dlmwviozmw yriw draziw xivzgvh -> mysterious wonderland bird wizard creates
rnztrmvh hvxivg draziw -> imagines secret wizard

Now, decrypt the following text: yllp xzhgov rnztrmvh dzgxsvh",book castle imagines watches
text_subst_reverse_alphabet_it003_0027,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

wizdh nlfmgzrm drhv wivznh -> draws mountain wise dreams
zorxv mvzi fmwvi -> alice near under
wlli hgfwvmg wrhxlevih xivzgvh -> door student discovers creates
mvzi wizdh ulooldh rnztrmvh ulooldh nbhgvirlfh -> near draws follows imagines follows mysterious
dlmwviozmw jfvvm wrhxlevih wlli jfvvm rmhrwv -> wonderland queen discovers door queen inside
kzozxv nztrxzo rmhrwv yriw -> palace magical inside bird
ulooldh fmwvi drhv -> follows under wise
yllp jfvvm kzozxv -> book queen palace
wizdh xivzgvh dzgxsvh ivzwh nlfmgzrm wlli -> draws creates watches reads mountain door

Now, decrypt the following text: jfvvm nlfmgzrm",queen mountain
text_subst_reverse_alphabet_it003_0028,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:

nlfhv dzgxsvh kzozxv dzgxsvh -> mouse watches palace watches
rmhrwv ulooldh kirmxvhh tlowvm -> inside follows princess golden
nlfmgzrm jfvvm wrhxlevih nlfhv ulooldh draziw -> mountain queen discovers mouse follows wizard
fmwvi ulooldh wivznh -> under follows dreams
nriili kzozxv zmxrvmg xivzgvh kirmxvhh -> mirror palace ancient creates princess
wrhxlevih nztrxzo drhv xzhgov kzozxv -> discovers magical wise castle palace
nlfhv xivzgvh hvxivg wizdh kirmxvhh -> mouse creates secret draws princess
nztrxzo nztrxzo rnztrmvh -> magical magical imagines
fmwvi nztrxzo nriili -> under magical mirror

Now, decrypt the following text: xszhvh dlmwviozmw hgfwvmg xivzgvh",chases wonderland student creates
